COD_DISBAR,BARRIOS,NRO_PERSONAS,ANIO,LATITUD,LONGITUD
62,CUATRO CAMINOS,5158.0,2019,4478108.124,440893.969
63,CASTILLEJOS,3093.0,2019,4479092.74,441146.7116
64,ALMENARA,3261.0,2019,4480229.372,441142.6001
65,VALDEACEDERAS,5901.0,2019,4479832.029,440304.6074
66,BERRUGUETE,6015.0,2019,4479011.421,440230.3974
71,GAZTAMBIDE,2583.0,2019,4476283.322,439389.8945
72,ARAPILES,2746.0,2019,4476214.595,439947.5584
73,TRAFALGAR,3284.0,2019,4476037.29,440530.8517
74,ALMAGRO,2678.0,2019,4476032.059,441174.9953
75,RÍOS ROSAS,3036.0,2019,4477096.745,440826.6665
76,VALLEHERMOSO,1495.0,2019,4477158.887,439682.3814
81,EL PARDO,141.0,2019,4489409.578,435018.7103
82,FUENTELAREINA,243.0,2019,4481421.762,437127.6497
83,PEÑAGRANDE,3422.0,2019,4481152.656,438480.3153
85,LA PAZ,1763.0,2019,4481394.724,440957.8603
86,VALVERDE,7392.0,2019,4483501.173,442483.6118
87,MIRASIERRA,1620.0,2019,4483094.181,439024.2924
88,EL GOLOSO,994.0,2019,4487307.227,440716.0024
91,CASA DE CAMPO,1113.0,2019,4475050.323,436118.4975
92,ARGÜELLES,2993.0,2019,4475533.294,439109.0847
93,CIUDAD UNIVERSITARIA,1575.0,2019,4478627.02,437391.5065
94,VALDEZARZA,3329.0,2019,4479644.899,439188.6628
95,VALDEMARÍN,627.0,2019,4480009.063,433968.0416
96,EL PLANTÍO,261.0,2019,4480219.592,430409.7127
97,ARAVACA,2637.0,2019,4478516.428,433939.3352
101,LOS CÁRMENES,2475.0,2019,4472579.69,437550.3787
102,PUERTA DEL ÁNGEL,8039.0,2019,4473487.258,437907.9825
103,LUCERO,6129.0,2019,4472679.645,436327.8871
104,ALUCHE,10637.0,2019,4471531.816,435779.5365
105,CAMPAMENTO,3593.0,2019,4470817.836,431786.0869
106,CUATRO VIENTOS,355.0,2019,4468973.502,433434.5775
107,LAS ÁGUILAS,5941.0,2019,4470420.122,434547.9376
111,COMILLAS,4064.0,2019,4471676.723,439576.9792
112,OPAÑEL,6931.0,2019,4471320.131,438741.1131
113,SAN ISIDRO,7728.0,2019,4472031.606,438190.5428
114,VISTA ALEGRE,10186.0,2019,4470681.208,436700.7182
115,PUERTA BONITA,7827.0,2019,4470159.472,437262.2706
116,BUENAVISTA,6167.0,2019,4468769.588,436656.9012
117,ABRANTES,6030.0,2019,4470074.329,438358.4198
121,ORCASITAS,1893.0,2019,4468916.31,439516.2653
122,ORCASUR,2054.0,2019,4469305.319,440733.1193
123,SAN FERMÍN,4520.0,2019,4469120.886,441499.985
124,ALMENDRALES,5869.0,2019,4470576.407,440645.9665
125,MOSCARDÓ,7173.0,2019,4471173.407,440009.8419
126,ZOFÍO,3323.0,2019,4470110.376,439279.8576
127,PRADOLONGO,5905.0,2019,4469968.652,439974.4688
131,ENTREVÍAS,5371.0,2019,4469574.278,442858.5724
132,SAN DIEGO,12035.0,2019,4471262.193,443316.4678
133,PALOMERAS BAJAS,5623.0,2019,4470671.33,444074.8694
134,PALOMERAS SURESTE,5024.0,2019,4470708.716,445907.486
135,PORTAZGO,4082.0,2019,4471314.521,444982.7317
136,NUMANCIA,9871.0,2019,4472306.995,444116.7652
141,PAVONES,938.0,2019,4472183.36,446353.3523
142,HORCAJO,244.0,2019,4473295.298,446804.3855
143,MARROQUINA,1688.0,2019,4473543.376,445646.4672
144,MEDIA LEGUA,1667.0,2019,4473682.217,444272.189
145,FONTARRÓN,2394.0,2019,4472512.703,445115.9638
146,VINATEROS,1912.0,2019,4472936.191,445482.8128
151,VENTAS,7924.0,2019,4474850.803,445079.4926
152,PUEBLO NUEVO,10726.0,2019,4475266.901,446095.6831
153,QUINTANA,4535.0,2019,4476462.964,445289.7605
155,SAN PASCUAL,1467.0,2019,4477117.637,444582.4
156,SAN JUAN BAUTISTA,1192.0,2019,4477988.461,444343.151
157,COLINA,646.0,2019,4478807.34,444014.4325
158,ATALAYA,160.0,2019,4479501.192,443626.7881
159,COSTILLARES,1143.0,2019,4480877.84,443334.1197
161,PALOMAS,673.0,2019,4478175.942,447754.9382
162,PIOVERA,2187.0,2019,4478532.529,446151.4886
163,CANILLAS,3666.0,2019,4479433.42,445426.2189
164,PINAR DEL REY,5643.0,2019,4480401.898,445152.0269
165,APÓSTOL SANTIAGO,1403.0,2019,4480844.351,444105.2521
166,VALDEFUENTES,5521.0,2019,4482753.289,446176.0779
172,SAN CRISTÓBAL,5165.0,2019,4465820.907,441533.8022
173,BUTARQUE,2628.0,2019,4465394.096,442559.7779
174,LOS ROSALES,7212.0,2019,4467464.76,441536.5956
175,LOS ÁNGELES,4982.0,2019,4467482.211,440632.5318
181,CASCO HISTÓRICO DE VALLECAS,6566.0,2019,4466332.267,447496.1334
182,SANTA EUGENIA,2510.0,2019,4470494.392,448110.1432
183,ENSANCHE DE VALLECAS,4467.0,2019,4468601.207,448851.2322
191,CASCO HISTÓRICO DE VICÁLVARO,6883.0,2019,4471000.988,450789.392
192,VALDEBERNARDO,1080.0,2019,4471960.93,447585.5543
193,VALDERRIVAS,649.0,2019,4472194.558,448859.2798
