COD_DISBAR,BARRIOS,NRO_PERSONAS,ANIO,LATITUD,LONGITUD
71,GAZTAMBIDE,820.0,2019,4476283.322,439389.8945
72,ARAPILES,841.0,2019,4476214.595,439947.5584
73,TRAFALGAR,890.0,2019,4476037.29,440530.8517
74,ALMAGRO,486.0,2019,4476032.059,441174.9953
75,RÍOS ROSAS,873.0,2019,4477096.745,440826.6665
76,VALLEHERMOSO,518.0,2019,4477158.887,439682.3814
81,EL PARDO,140.0,2019,4489409.578,435018.7103
82,FUENTELAREINA,77.0,2019,4481421.762,437127.6497
83,PEÑAGRANDE,1704.0,2019,4481152.656,438480.3153
85,LA PAZ,940.0,2019,4481394.724,440957.8603
86,VALVERDE,2631.0,2019,4483501.173,442483.6118
87,MIRASIERRA,850.0,2019,4483094.181,439024.2924
88,EL GOLOSO,402.0,2019,4487307.227,440716.0024
91,CASA DE CAMPO,546.0,2019,4475050.323,436118.4975
92,ARGÜELLES,784.0,2019,4475533.294,439109.0847
93,CIUDAD UNIVERSITARIA,413.0,2019,4478627.02,437391.5065
94,VALDEZARZA,1340.0,2019,4479644.899,439188.6628
95,VALDEMARÍN,137.0,2019,4480009.063,433968.0416
96,EL PLANTÍO,59.0,2019,4480219.592,430409.7127
97,ARAVACA,683.0,2019,4478516.428,433939.3352
101,LOS CÁRMENES,1287.0,2019,4472579.69,437550.3787
102,PUERTA DEL ÁNGEL,2590.0,2019,4473487.258,437907.9825
103,LUCERO,2028.0,2019,4472679.645,436327.8871
104,ALUCHE,3159.0,2019,4471531.816,435779.5365
105,CAMPAMENTO,868.0,2019,4470817.836,431786.0869
106,CUATRO VIENTOS,317.0,2019,4468973.502,433434.5775
107,LAS ÁGUILAS,2451.0,2019,4470420.122,434547.9376
111,COMILLAS,1338.0,2019,4471676.723,439576.9792
112,OPAÑEL,1854.0,2019,4471320.131,438741.1131
113,SAN ISIDRO,2990.0,2019,4472031.606,438190.5428
114,VISTA ALEGRE,2691.0,2019,4470681.208,436700.7182
115,PUERTA BONITA,2359.0,2019,4470159.472,437262.2706
116,BUENAVISTA,2408.0,2019,4468769.588,436656.9012
117,ABRANTES,1985.0,2019,4470074.329,438358.4198
121,ORCASITAS,1492.0,2019,4468916.31,439516.2653
122,ORCASUR,1188.0,2019,4469305.319,440733.1193
123,SAN FERMÍN,1617.0,2019,4469120.886,441499.985
124,ALMENDRALES,1415.0,2019,4470576.407,440645.9665
125,MOSCARDÓ,1563.0,2019,4471173.407,440009.8419
126,ZOFÍO,913.0,2019,4470110.376,439279.8576
127,PRADOLONGO,1121.0,2019,4469968.652,439974.4688
131,ENTREVÍAS,2994.0,2019,4469574.278,442858.5724
132,SAN DIEGO,3283.0,2019,4471262.193,443316.4678
133,PALOMERAS BAJAS,2702.0,2019,4470671.33,444074.8694
134,PALOMERAS SURESTE,2859.0,2019,4470708.716,445907.486
135,PORTAZGO,2141.0,2019,4471314.521,444982.7317
136,NUMANCIA,3421.0,2019,4472306.995,444116.7652
141,PAVONES,551.0,2019,4472183.36,446353.3523
142,HORCAJO,366.0,2019,4473295.298,446804.3855
143,MARROQUINA,1254.0,2019,4473543.376,445646.4672
144,MEDIA LEGUA,934.0,2019,4473682.217,444272.189
145,FONTARRÓN,1012.0,2019,4472512.703,445115.9638
146,VINATEROS,784.0,2019,4472936.191,445482.8128
151,VENTAS,2601.0,2019,4474850.803,445079.4926
152,PUEBLO NUEVO,3212.0,2019,4475266.901,446095.6831
153,QUINTANA,1248.0,2019,4476462.964,445289.7605
155,SAN PASCUAL,758.0,2019,4477117.637,444582.4
156,SAN JUAN BAUTISTA,386.0,2019,4477988.461,444343.151
157,COLINA,245.0,2019,4478807.34,444014.4325
158,ATALAYA,31.0,2019,4479501.192,443626.7881
159,COSTILLARES,702.0,2019,4480877.84,443334.1197
161,PALOMAS,197.0,2019,4478175.942,447754.9382
162,PIOVERA,352.0,2019,4478532.529,446151.4886
163,CANILLAS,1710.0,2019,4479433.42,445426.2189
164,PINAR DEL REY,2688.0,2019,4480401.898,445152.0269
165,APÓSTOL SANTIAGO,781.0,2019,4480844.351,444105.2521
166,VALDEFUENTES,1918.0,2019,4482753.289,446176.0779
172,SAN CRISTÓBAL,1539.0,2019,4465820.907,441533.8022
173,BUTARQUE,1080.0,2019,4465394.096,442559.7779
174,LOS ROSALES,2360.0,2019,4467464.76,441536.5956
175,LOS ÁNGELES,2050.0,2019,4467482.211,440632.5318
181,CASCO HISTÓRICO DE VALLECAS,3364.0,2019,4466332.267,447496.1334
182,SANTA EUGENIA,1459.0,2019,4470494.392,448110.1432
183,ENSANCHE DE VALLECAS,2412.0,2019,4468601.207,448851.2322
191,CASCO HISTÓRICO DE VICÁLVARO,2457.0,2019,4471000.988,450789.392
192,VALDEBERNARDO,1247.0,2019,4471960.93,447585.5543
193,VALDERRIVAS,667.0,2019,4472194.558,448859.2798
201,SIMANCAS,1644.0,2019,4476263.737,446981.6721
202,HELLÍN,691.0,2019,4475772.544,447680.4837
203,AMPOSTA,759.0,2019,4475241.334,447234.3454
204,ARCOS,1547.0,2019,4474693.643,447607.4973
205,ROSAS,1261.0,2019,4475395.532,449590.4285
206,REJAS,668.0,2019,4477317.169,451648.3991
207,CANILLEJAS,1504.0,2019,4477135.693,448224.083
211,ALAMEDA DE OSUNA,590.0,2019,4478581.448,449818.2184
212,AEROPUERTO,102.0,2019,4481029.075,452237.8537
213,CASCO HISTÓRICO DE BARAJAS,386.0,2019,4480530.185,450931.3676
214,TIMÓN,527.0,2019,4480810.557,448842.3002
215,CORRALEJOS,230.0,2019,4479457.295,448527.2781
