COD_DISBAR,BARRIOS,TIPO_VIVIENDA,PRECIO(EUROS/M2),ANIO,LATITUD,LONGITUD
134,PALOMERAS SURESTE,USADAS,1545.79,2018,4470708.716,445907.486
135,PORTAZGO,USADAS,1573.61,2018,4471314.521,444982.7317
136,NUMANCIA,USADAS,1777.46,2018,4472306.995,444116.7652
141,PAVONES,USADAS,2169.63,2018,4472183.36,446353.3523
142,HORCAJO,USADAS,3098.05,2018,4473295.298,446804.3855
143,MARROQUINA,USADAS,2669.81,2018,4473543.376,445646.4672
144,MEDIA LEGUA,USADAS,2228.49,2018,4473682.217,444272.189
145,FONTARRÓN,USADAS,2090.53,2018,4472512.703,445115.9638
146,VINATEROS,USADAS,2162.89,2018,4472936.191,445482.8128
151,VENTAS,USADAS,2386.41,2018,4474850.803,445079.4926
152,PUEBLO NUEVO,USADAS,2257.47,2018,4475266.901,446095.6831
153,QUINTANA,USADAS,2683.15,2018,4476462.964,445289.7605
154,CONCEPCIÓN,USADAS,3527.32,2018,4476721.345,444934.1577
155,SAN PASCUAL,USADAS,3776.42,2018,4477117.637,444582.4
156,SAN JUAN BAUTISTA,USADAS,3725.1,2018,4477988.461,444343.151
157,COLINA,USADAS,3937.41,2018,4478807.34,444014.4325
158,ATALAYA,USADAS,4566.83,2018,4479501.192,443626.7881
159,COSTILLARES,USADAS,3828.79,2018,4480877.84,443334.1197
161,PALOMAS,USADAS,3936.34,2018,4478175.942,447754.9382
162,PIOVERA,USADAS,4698.65,2018,4478532.529,446151.4886
163,CANILLAS,USADAS,3138.51,2018,4479433.42,445426.2189
164,PINAR DEL REY,USADAS,2699.23,2018,4480401.898,445152.0269
165,APÓSTOL SANTIAGO,USADAS,2519.39,2018,4480844.351,444105.2521
166,VALDEFUENTES,USADAS,4627.26,2018,4482753.289,446176.0779
171,"VILLAVERDE ALTO, CASCO HISTÓRICO DE VILLAVERDE",USADAS,1295.57,2018,4465896.736,439786.7051
172,SAN CRISTÓBAL,USADAS,1086.98,2018,4465820.907,441533.8022
173,BUTARQUE,USADAS,1736.17,2018,4465394.096,442559.7779
174,LOS ROSALES,USADAS,1514.28,2018,4467464.76,441536.5956
175,LOS ÁNGELES,USADAS,1393.89,2018,4467482.211,440632.5318
181,CASCO HISTÓRICO DE VALLECAS,USADAS,1749.09,2018,4466332.267,447496.1334
182,SANTA EUGENIA,USADAS,1932.18,2018,4470494.392,448110.1432
183,ENSANCHE DE VALLECAS,USADAS,2386.22,2018,4468601.207,448851.2322
191,CASCO HISTÓRICO DE VICÁLVARO,USADAS,1841.75,2018,4471000.988,450789.392
192,VALDEBERNARDO,USADAS,2156.56,2018,4471960.93,447585.5543
201,SIMANCAS,USADAS,2375.85,2018,4476263.737,446981.6721
202,HELLÍN,USADAS,1471.98,2018,4475772.544,447680.4837
203,AMPOSTA,USADAS,1443.64,2018,4475241.334,447234.3454
204,ARCOS,USADAS,1839.89,2018,4474693.643,447607.4973
205,ROSAS,USADAS,3027.97,2018,4475395.532,449590.4285
206,REJAS,USADAS,2662.79,2018,4477317.169,451648.3991
207,CANILLEJAS,USADAS,2027.26,2018,4477135.693,448224.083
208,SALVADOR,USADAS,3140.61,2018,4477373.192,446491.5939
211,ALAMEDA DE OSUNA,USADAS,3295.45,2018,4478581.448,449818.2184
212,AEROPUERTO,USADAS,0.0,2018,4481029.075,452237.8537
213,CASCO HISTÓRICO DE BARAJAS,USADAS,2745.55,2018,4480530.185,450931.3676
214,TIMÓN,USADAS,3226.8,2018,4480810.557,448842.3002
215,CORRALEJOS,USADAS,3497.84,2018,4479457.295,448527.2781
11,PALACIO,USADAS,5044.74,2019,4474110.875,439417.7914
12,EMBAJADORES,USADAS,4408.11,2019,4473417.211,440397.1764
13,CORTES,USADAS,5494.3,2019,4474035.577,440880.1521
14,JUSTICIA,USADAS,5943.46,2019,4475014.208,440900.7625
15,UNIVERSIDAD,USADAS,5453.38,2019,4475244.247,440020.8477
16,SOL,USADAS,5308.95,2019,4474314.564,440226.8442
21,IMPERIAL,USADAS,3866.36,2019,4473089.616,439045.6199
22,ACACIAS,USADAS,4498.48,2019,4472513.434,439982.8536
23,CHOPERA,USADAS,3706.9,2019,4471808.825,440672.2536
24,LEGAZPI,USADAS,4572.26,2019,4471151.447,441682.9396
25,DELICIAS,USADAS,4016.56,2019,4472027.934,441453.464
26,PALOS DE MOGUER,USADAS,3817.67,2019,4472774.286,441057.6445
27,ATOCHA,USADAS,0.0,2019,4472353.007,442131.2346
31,PACÍFICO,USADAS,4275.14,2019,4472859.079,442407.5013
32,ADELFAS,USADAS,4729.86,2019,4472494.747,443062.2345
33,ESTRELLA,USADAS,4076.81,2019,4473931.01,443534.9304
34,IBIZA,USADAS,5469.24,2019,4474469.277,442791.7959
35,JERÓNIMOS,USADAS,6715.19,2019,4473905.687,441870.6698
36,NIÑO JESÚS,USADAS,5524.82,2019,4473660.907,442862.905
41,RECOLETOS,USADAS,8553.75,2019,4475110.43,441820.8979
42,GOYA,USADAS,5879.9,2019,4475153.753,442789.9119
43,FUENTE DEL BERRO,USADAS,4797.72,2019,4475116.489,443691.2602
44,GUINDALERA,USADAS,4570.75,2019,4476402.061,443463.5845
45,LISTA,USADAS,5934.33,2019,4475927.641,442676.6687
46,CASTELLANA,USADAS,7154.95,2019,4476104.298,441959.5528
51,EL VISO,USADAS,6346.5,2019,4477360.964,441927.2958
52,PROSPERIDAD,USADAS,4418.18,2019,4477279.652,443241.5164
53,CIUDAD JARDÍN,USADAS,4400.14,2019,4477733.182,442929.7851
54,HISPANOAMÉRICA,USADAS,5488.27,2019,4478520.651,442584.7337
55,NUEVA ESPAÑA,USADAS,6382.51,2019,4479342.236,442506.6745
56,CASTILLA,USADAS,4050.55,2019,4480625.699,442382.2751
61,BELLAS VISTAS,USADAS,3427.0,2019,4478217.699,439996.5425
62,CUATRO CAMINOS,USADAS,4451.05,2019,4478108.124,440893.969
63,CASTILLEJOS,USADAS,4346.92,2019,4479092.74,441146.7116
64,ALMENARA,USADAS,3274.9,2019,4480229.372,441142.6001
65,VALDEACEDERAS,USADAS,3019.38,2019,4479832.029,440304.6074
66,BERRUGUETE,USADAS,2944.79,2019,4479011.421,440230.3974
71,GAZTAMBIDE,USADAS,5501.27,2019,4476283.322,439389.8945
72,ARAPILES,USADAS,5657.18,2019,4476214.595,439947.5584
73,TRAFALGAR,USADAS,5520.79,2019,4476037.29,440530.8517
74,ALMAGRO,USADAS,6367.31,2019,4476032.059,441174.9953
75,RÍOS ROSAS,USADAS,5449.13,2019,4477096.745,440826.6665
76,VALLEHERMOSO,USADAS,4768.92,2019,4477158.887,439682.3814
81,EL PARDO,USADAS,0.0,2019,4489409.578,435018.7103
82,FUENTELAREINA,USADAS,3762.46,2019,4481421.762,437127.6497
83,PEÑAGRANDE,USADAS,3504.14,2019,4481152.656,438480.3153
84,PILAR,USADAS,3475.77,2019,4480959.021,439853.0231
85,LA PAZ,USADAS,3674.34,2019,4481394.724,440957.8603
86,VALVERDE,USADAS,3229.81,2019,4483501.173,442483.6118
87,MIRASIERRA,USADAS,4314.16,2019,4483094.181,439024.2924
88,EL GOLOSO,USADAS,4848.94,2019,4487307.227,440716.0024
91,CASA DE CAMPO,USADAS,3419.56,2019,4475050.323,436118.4975
92,ARGÜELLES,USADAS,4755.73,2019,4475533.294,439109.0847
93,CIUDAD UNIVERSITARIA,USADAS,4362.82,2019,4478627.02,437391.5065
94,VALDEZARZA,USADAS,3035.11,2019,4479644.899,439188.6628
95,VALDEMARÍN,USADAS,4788.7,2019,4480009.063,433968.0416
96,EL PLANTÍO,USADAS,3146.36,2019,4480219.592,430409.7127
97,ARAVACA,USADAS,3896.04,2019,4478516.428,433939.3352
101,LOS CÁRMENES,USADAS,2427.96,2019,4472579.69,437550.3787
102,PUERTA DEL ÁNGEL,USADAS,2579.8,2019,4473487.258,437907.9825
103,LUCERO,USADAS,2239.02,2019,4472679.645,436327.8871
104,ALUCHE,USADAS,2178.93,2019,4471531.816,435779.5365
105,CAMPAMENTO,USADAS,2035.68,2019,4470817.836,431786.0869
106,CUATRO VIENTOS,USADAS,3192.11,2019,4468973.502,433434.5775
