BARRIOS,ANIO,NRO_PERSONAS,PORCENTAJE_EVOLUCION
ENSANCHE DE VALLECAS,2019,23444.0,1.47
CASCO HISTÓRICO DE VICÁLVARO,2016,20410.0,0.0
CASCO HISTÓRICO DE VICÁLVARO,2018,12963.0,-36.49
CASCO HISTÓRICO DE VICÁLVARO,2019,13278.0,2.43
VALDEBERNARDO,2018,6324.0,0.0
VALDEBERNARDO,2019,6337.0,0.21
VALDERRIVAS,2018,6795.0,0.0
VALDERRIVAS,2019,6274.0,-7.67
SIMANCAS,2016,10247.0,0.0
SIMANCAS,2018,10595.0,3.4
SIMANCAS,2019,10993.0,3.76
HELLÍN,2016,2947.0,0.0
HELLÍN,2018,3103.0,5.29
HELLÍN,2019,3278.0,5.64
AMPOSTA,2016,2974.0,0.0
AMPOSTA,2018,3082.0,3.63
AMPOSTA,2019,3221.0,4.51
ARCOS,2016,8682.0,0.0
ARCOS,2018,8623.0,-0.68
ARCOS,2019,8801.0,2.06
ROSAS,2016,10647.0,0.0
ROSAS,2018,10356.0,-2.73
ROSAS,2019,10528.0,1.66
REJAS,2016,6893.0,0.0
REJAS,2018,7125.0,3.37
REJAS,2019,7153.0,0.39
CANILLEJAS,2016,10584.0,0.0
CANILLEJAS,2018,10485.0,-0.94
CANILLEJAS,2019,10382.0,-0.98
SALVADOR,2016,3834.0,0.0
ALAMEDA DE OSUNA,2016,6814.0,0.0
ALAMEDA DE OSUNA,2018,6505.0,-4.53
ALAMEDA DE OSUNA,2019,6378.0,-1.95
AEROPUERTO,2016,740.0,0.0
AEROPUERTO,2018,735.0,-0.68
AEROPUERTO,2019,757.0,2.99
CASCO HISTÓRICO DE BARAJAS,2016,3076.0,0.0
CASCO HISTÓRICO DE BARAJAS,2018,3066.0,-0.33
CASCO HISTÓRICO DE BARAJAS,2019,3161.0,3.1
TIMÓN,2016,4706.0,0.0
TIMÓN,2018,5046.0,7.22
TIMÓN,2019,5231.0,3.67
CORRALEJOS,2016,2709.0,0.0
CORRALEJOS,2018,2614.0,-3.51
CORRALEJOS,2019,2623.0,0.34
